1	8	4	0	3398	1	4	1	3	1	4	1	39	3	2	2	2	1	1	2
2	7	2	3	2329	1	2	1	2	3	1	1	45	3	2	1	3	1	1	1
1	12	2	3	2214	1	3	4	3	1	3	2	24	3	2	1	2	1	1	1
4	48	4	1	8858	5	4	2	3	1	1	4	35	3	3	2	3	1	2	1
4	10	2	0	1418	2	3	3	3	1	2	1	35	3	1	1	2	1	1	2
1	24	2	0	4817	1	4	2	3	2	3	2	31	3	2	1	3	1	2	1
1	12	2	6	684	1	3	4	3	1	4	3	40	3	1	1	2	2	1	1
1	24	2	2	4169	1	3	4	3	1	4	2	28	3	2	1	3	1	1	1
1	24	2	2	2996	5	3	2	4	1	4	3	20	3	2	1	3	1	1	1
2	12	2	3	1484	5	3	2	4	1	1	1	25	3	2	1	3	1	2	1
4	6	3	9	1743	2	3	1	3	1	2	1	34	3	2	2	2	1	1	1
4	24	2	9	4591	4	3	2	3	1	3	2	54	3	2	3	4	1	2	1
4	24	2	3	1311	2	4	4	4	1	3	2	26	3	2	1	3	1	2	1
2	12	4	4	1424	1	4	4	3	1	3	2	26	3	2	1	3	1	1	1
1	10	4	0	1038	1	4	4	3	2	3	2	49	3	2	2	3	1	2	1
4	24	2	0	1474	2	2	4	4	1	3	1	33	3	2	1	3	1	2	1
1	47	2	0	10722	1	2	1	2	1	1	1	35	3	2	1	2	1	2	1
3	10	4	0	781	1	5	4	3	1	4	4	63	3	3	2	3	1	2	1
2	36	4	1	5800	1	3	3	3	1	4	3	34	3	2	2	3	1	2	1
3	18	2	2	2864	1	3	2	3	1	1	1	34	3	2	1	2	2	1	1
2	12	2	0	1223	1	5	1	1	1	1	1	46	3	1	2	3	1	1	1
3	12	2	3	3016	1	3	3	4	1	1	3	24	3	2	1	3	1	1	1
1	36	4	2	2348	1	3	3	4	1	2	2	46	3	2	2	3	1	2	1
1	36	1	2	2746	1	5	4	3	1	4	3	31	1	2	1	3	1	1	1
4	15	2	4	1262	3	4	4	3	1	3	2	36	3	2	2	3	1	2	1
4	36	3	2	7678	3	4	2	2	1	4	3	40	3	2	2	3	1	2	1
4	36	2	9	7409	5	5	3	3	1	2	2	37	3	2	2	3	1	1	1
2	15	4	3	1537	5	5	4	3	3	4	1	50	3	2	2	3	1	2	1
